algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
blur,seq,7680x4320,1,0.317415,1.0000,1.0000,,
blur,filas,7680x4320,1,0.317446,0.9999,0.9999,1.0000,1.0000
blur,filas,7680x4320,2,0.159579,1.9891,0.9945,1.9893,0.9946
blur,filas,7680x4320,4,0.080357,3.9501,0.9875,3.9504,0.9876
blur,filas,7680x4320,8,0.042143,7.5319,0.9415,7.5326,0.9416
blur,filas,7680x4320,16,0.032256,9.8405,0.6150,9.8415,0.6151
blur,filas,7680x4320,32,0.032449,9.7820,0.3057,9.7829,0.3057
blur,collapse,7680x4320,1,0.356155,0.8912,0.8912,1.0000,1.0000
blur,collapse,7680x4320,2,0.178308,1.7802,0.8901,1.9974,0.9987
blur,collapse,7680x4320,4,0.090626,3.5025,0.8756,3.9299,0.9825
blur,collapse,7680x4320,8,0.047063,6.7445,0.8431,7.5676,0.9460
blur,collapse,7680x4320,16,0.034423,9.2210,0.5763,10.3464,0.6467
blur,collapse,7680x4320,32,0.029821,10.6440,0.3326,11.9431,0.3732
blur,dynamic,7680x4320,1,0.318769,0.9958,0.9958,1.0000,1.0000
blur,dynamic,7680x4320,2,0.160884,1.9729,0.9865,1.9814,0.9907
blur,dynamic,7680x4320,4,0.080773,3.9297,0.9824,3.9465,0.9866
blur,dynamic,7680x4320,8,0.042615,7.4484,0.9311,7.4802,0.9350
blur,dynamic,7680x4320,16,0.027119,11.7045,0.7315,11.7545,0.7347
blur,dynamic,7680x4320,32,0.026500,11.9779,0.3743,12.0290,0.3759
