algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
blur,seq,7680x4320,1,0.137,1.0000,1.0000,,
blur,filas,7680x4320,1,0.133,1.03007518796992,1.03007518796992,1,1
blur,filas,7680x4320,2,0.076,1.80263157894737,0.901315789473684,1.75,0.875
blur,filas,7680x4320,4,0.065,2.10769230769231,0.526923076923077,2.04615384615385,0.511538461538461
blur,filas,7680x4320,8,0.061,2.24590163934426,0.280737704918033,2.18032786885246,0.272540983606557
blur,filas,7680x4320,16,0.058,2.36206896551724,0.147629310344828,2.29310344827586,0.143318965517241
blur,filas,7680x4320,32,0.058,2.36206896551724,0.0738146551724138,2.29310344827586,0.0716594827586207
blur,collapse,7680x4320,1,0.165,0.83030303030303,0.83030303030303,1,1
blur,collapse,7680x4320,2,0.086,1.59302325581395,0.796511627906977,1.91860465116279,0.959302325581395
blur,collapse,7680x4320,4,0.077,1.77922077922078,0.444805194805195,2.14285714285714,0.535714285714286
blur,collapse,7680x4320,8,0.074,1.85135135135135,0.231418918918919,2.22972972972973,0.278716216216216
blur,collapse,7680x4320,16,0.062,2.20967741935484,0.138104838709677,2.66129032258065,0.16633064516129
blur,collapse,7680x4320,32,0.068,2.01470588235294,0.0629595588235294,2.42647058823529,0.0758272058823529
blur,dynamic,7680x4320,1,0.141,0.971631205673759,0.971631205673759,1,1
blur,dynamic,7680x4320,2,0.075,1.82666666666667,0.913333333333333,1.88,0.94
blur,dynamic,7680x4320,4,0.043,3.18604651162791,0.796511627906977,3.27906976744186,0.819767441860465
blur,dynamic,7680x4320,8,0.043,3.18604651162791,0.398255813953488,3.27906976744186,0.409883720930233
blur,dynamic,7680x4320,16,0.048,2.85416666666667,0.178385416666667,2.9375,0.18359375
blur,dynamic,7680x4320,32,0.042,3.26190476190476,0.101934523809524,3.35714285714286,0.104910714285714
