algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
matrices,seq,N=1024,1,2.378,1.0000,1.0000,,
matrices,ijk,N=1024,1,2.281,1.042525208242,1.042525208242,1,1
matrices,ijk,N=1024,2,1.159,2.05176876617774,1.02588438308887,1.96807592752373,0.984037963761864
matrices,ijk,N=1024,4,0.769,3.09232769830949,0.773081924577373,2.96618985695709,0.741547464239272
matrices,ikj,N=1024,1,0.716,3.32122905027933,3.32122905027933,1,1
matrices,ikj,N=1024,2,0.354,6.71751412429379,3.35875706214689,2.0225988700565,1.01129943502825
matrices,ikj,N=1024,4,0.197,12.0710659898477,3.01776649746193,3.63451776649746,0.908629441624365
matrices,tiled,N=1024,1,0.632,3.7626582278481,3.7626582278481,1,1
matrices,tiled,N=1024,2,0.356,6.67977528089888,3.33988764044944,1.7752808988764,0.887640449438202
matrices,tiled,N=1024,4,0.174,13.6666666666667,3.41666666666667,3.63218390804598,0.908045977011494
