algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
matrices,seq,N=1024,1,8.010945,1.0000,1.0000,,
matrices,ijk,N=1024,1,8.820576,0.9082,0.9082,1.0000,1.0000
matrices,ijk,N=1024,2,3.776662,2.1212,1.0606,2.3355,1.1678
matrices,ijk,N=1024,4,1.853194,4.3228,1.0807,4.7597,1.1899
matrices,ijk,N=1024,8,0.922668,8.6824,1.0853,9.5599,1.1950
matrices,ijk,N=1024,16,0.462859,17.3075,1.0817,19.0567,1.1910
matrices,ijk,N=1024,32,0.221088,36.2342,1.1323,39.8962,1.2468
matrices,ikj,N=1024,1,0.504123,15.8909,15.8909,1.0000,1.0000
matrices,ikj,N=1024,2,0.251658,31.8327,15.9163,2.0032,1.0016
matrices,ikj,N=1024,4,0.132062,60.6605,15.1651,3.8173,0.9543
matrices,ikj,N=1024,8,0.081625,98.1433,12.2679,6.1761,0.7720
matrices,ikj,N=1024,16,0.048330,165.7551,10.3597,10.4309,0.6519
matrices,ikj,N=1024,32,0.043009,186.2621,5.8207,11.7213,0.3663
matrices,tiled,N=1024,1,0.655163,12.2274,12.2274,1.0000,1.0000
matrices,tiled,N=1024,2,0.323893,24.7333,12.3667,2.0228,1.0114
matrices,tiled,N=1024,4,0.162261,49.3707,12.3427,4.0377,1.0094
matrices,tiled,N=1024,8,0.091192,87.8470,10.9809,7.1844,0.8981
matrices,tiled,N=1024,16,0.052578,152.3631,9.5227,12.4608,0.7788
matrices,tiled,N=1024,32,0.053611,149.4273,4.6696,12.2207,0.3819
