algoritmo,variante,tamano,hilos,tiempo_s,speedup_total,eficiencia_total,speedup_paralelo,eficiencia_paralela
matrices,seq,N=1024,1,2.376,1.0000,1.0000,,
matrices,ijk,N=1024,1,2.368,1.00337837837838,1.00337837837838,1,1
matrices,ijk,N=1024,2,1.085,2.18986175115207,1.09493087557604,2.18248847926267,1.09124423963134
matrices,ijk,N=1024,4,0.614,3.86970684039088,0.96742671009772,3.85667752442997,0.964169381107492
matrices,ijk,N=1024,8,0.46,5.16521739130435,0.645652173913043,5.14782608695652,0.643478260869565
matrices,ijk,N=1024,16,0.377,6.30238726790451,0.393899204244032,6.28116710875332,0.392572944297082
matrices,ijk,N=1024,32,0.315,7.54285714285714,0.235714285714286,7.51746031746032,0.234920634920635
matrices,ikj,N=1024,1,0.328,7.24390243902439,7.24390243902439,1,1
matrices,ikj,N=1024,2,0.175,13.5771428571429,6.78857142857143,1.87428571428571,0.937142857142857
matrices,ikj,N=1024,4,0.108,22,5.5,3.03703703703704,0.759259259259259
matrices,ikj,N=1024,8,0.07,33.9428571428571,4.24285714285714,4.68571428571429,0.585714285714286
matrices,ikj,N=1024,16,0.056,42.4285714285714,2.65178571428571,5.85714285714286,0.366071428571429
matrices,ikj,N=1024,32,0.052,45.6923076923077,1.42788461538462,6.30769230769231,0.197115384615385
matrices,tiled,N=1024,1,0.441,5.38775510204082,5.38775510204082,1,1
matrices,tiled,N=1024,2,0.224,10.6071428571429,5.30357142857143,1.96875,0.984375
matrices,tiled,N=1024,4,0.128,18.5625,4.640625,3.4453125,0.861328125
matrices,tiled,N=1024,8,0.083,28.6265060240964,3.57831325301205,5.31325301204819,0.664156626506024
matrices,tiled,N=1024,16,0.08,29.7,1.85625,5.5125,0.34453125
matrices,tiled,N=1024,32,0.078,30.4615384615385,0.951923076923077,5.65384615384615,0.176682692307692
